Table S2: Atmospheric forcing datasets for ?14CO2 and ?13CO2 for the six SSP-based scenarios. Units are ‰. ,,,,,,,,,,,,
"From Graven et al. Changes to Carbon Isotopes in Atmospheric CO2 over the Industrial Era and into the Future, Global Biogeochemical Cycles, 2020.",,,,,,,,,,,,
,SSP119,SSP119,SSP126,SSP126,SSP245,SSP245,SSP370,SSP370,SSP534os,SSP534os,SSP585,SSP585
2025,0.5,-8.68,-9.4,-8.72,-11.7,-8.76,-18.9,-8.86,-17.7,-8.85,-17.7,-8.84
2026,-0.3,-8.67,-11.8,-8.73,-14.7,-8.79,-22.8,-8.9,-21.8,-8.9,-21.8,-8.89
2027,-0.8,-8.66,-14,-8.74,-17.6,-8.81,-26.7,-8.94,-25.9,-8.94,-25.9,-8.93
2028,-1.2,-8.64,-16.2,-8.75,-20.5,-8.84,-30.5,-8.98,-30,-8.99,-30,-8.98
2029,-1.4,-8.62,-18.3,-8.76,-23.3,-8.86,-34.3,-9.02,-34.1,-9.04,-34.2,-9.03
2030,-1.5,-8.6,-20.3,-8.76,-26.1,-8.89,-38.1,-9.06,-38.2,-9.09,-38.3,-9.07
2031,-1.4,-8.58,-22.2,-8.77,-28.8,-8.91,-41.8,-9.1,-42.4,-9.14,-42.5,-9.12
2032,-1.2,-8.55,-24,-8.77,-31.5,-8.94,-45.4,-9.14,-46.6,-9.18,-46.7,-9.17
2033,-1,-8.52,-25.5,-8.77,-34.1,-8.96,-49,-9.18,-50.8,-9.23,-50.9,-9.22
2034,-0.7,-8.5,-26.9,-8.77,-36.6,-8.98,-52.5,-9.22,-55.1,-9.28,-55.2,-9.27
2035,-0.4,-8.47,-28.2,-8.76,-39.1,-9,-55.9,-9.26,-59.4,-9.34,-59.5,-9.32
2036,0.1,-8.44,-29.3,-8.76,-41.5,-9.02,-59.4,-9.29,-63.7,-9.39,-63.8,-9.37
2037,0.6,-8.41,-30.3,-8.75,-43.9,-9.04,-62.7,-9.33,-68.1,-9.44,-68.2,-9.42
2038,1.2,-8.38,-31.3,-8.75,-46.2,-9.06,-66.1,-9.36,-72.5,-9.49,-72.6,-9.47
2039,1.9,-8.35,-32.1,-8.74,-48.5,-9.08,-69.4,-9.4,-76.9,-9.54,-77,-9.53
2040,2.6,-8.31,-32.8,-8.73,-50.8,-9.1,-72.6,-9.43,-81.2,-9.6,-81.4,-9.58
2041,3.4,-8.28,-33.5,-8.72,-53,-9.12,-75.8,-9.47,-85.5,-9.65,-85.8,-9.63
2042,4.1,-8.25,-34.1,-8.71,-55.2,-9.14,-78.9,-9.5,-89.2,-9.7,-90.2,-9.68
2043,4.8,-8.21,-34.7,-8.69,-57.3,-9.16,-82,-9.54,-92.4,-9.74,-94.6,-9.74
2044,5.4,-8.18,-35.2,-8.68,-59.4,-9.17,-85,-9.57,-95.1,-9.77,-99,-9.79
2045,6,-8.15,-35.7,-8.67,-61.4,-9.19,-88,-9.6,-97.4,-9.8,-103.4,-9.85
2046,6.6,-8.12,-36.1,-8.65,-63.5,-9.21,-90.9,-9.64,-99.4,-9.81,-107.8,-9.9
2047,7.1,-8.09,-36.4,-8.64,-65.4,-9.22,-93.8,-9.67,-101,-9.82,-112.2,-9.96
2048,7.6,-8.06,-36.8,-8.62,-67.4,-9.24,-96.6,-9.7,-102.5,-9.83,-116.6,-10.01
2049,8.1,-8.03,-37,-8.6,-69.3,-9.25,-99.4,-9.73,-103.7,-9.83,-121,-10.07
2050,8.5,-8,-37.3,-8.59,-71.2,-9.27,-102.2,-9.76,-104.7,-9.82,-125.3,-10.12
2051,9,-7.97,-37.5,-8.57,-73,-9.28,-104.9,-9.8,-105.4,-9.82,-129.7,-10.18
2052,9.4,-7.93,-37.6,-8.55,-74.8,-9.3,-107.6,-9.83,-105.9,-9.8,-134,-10.23
2053,9.7,-7.91,-37.8,-8.53,-76.5,-9.31,-110.3,-9.86,-106.1,-9.79,-138.4,-10.29
2054,10,-7.88,-37.9,-8.51,-78.2,-9.32,-112.8,-9.89,-106,-9.76,-142.7,-10.35
2055,10.3,-7.85,-38,-8.49,-79.8,-9.33,-115.4,-9.92,-105.7,-9.73,-147.1,-10.41
2056,10.5,-7.83,-38.1,-8.47,-81.4,-9.34,-117.9,-9.95,-105.2,-9.69,-151.5,-10.46
2057,10.8,-7.8,-38.1,-8.45,-83,-9.35,-120.4,-9.98,-104.5,-9.65,-155.8,-10.52
2058,11,-7.78,-38.1,-8.43,-84.5,-9.36,-122.8,-10.02,-103.7,-9.61,-160.2,-10.58
2059,11.2,-7.76,-38.1,-8.41,-86,-9.37,-125.3,-10.05,-102.6,-9.56,-164.5,-10.64
2060,11.4,-7.74,-38.1,-8.39,-87.4,-9.38,-127.6,-10.08,-101.4,-9.5,-168.8,-10.7
2061,11.5,-7.72,-38.1,-8.37,-88.9,-9.38,-130,-10.11,-99.9,-9.44,-173,-10.76
2062,11.6,-7.7,-38.1,-8.35,-90.2,-9.39,-132.3,-10.14,-98.5,-9.39,-177.2,-10.82
2063,11.8,-7.68,-38,-8.33,-91.5,-9.4,-134.6,-10.17,-97,-9.32,-181.4,-10.88
2064,11.9,-7.66,-38,-8.31,-92.8,-9.4,-136.9,-10.2,-95.5,-9.26,-185.5,-10.94
2065,11.9,-7.65,-37.9,-8.29,-94,-9.4,-139.2,-10.23,-94,-9.2,-189.5,-11
2066,12,-7.63,-37.8,-8.27,-95.1,-9.41,-141.4,-10.27,-92.5,-9.14,-193.5,-11.06
2067,12,-7.61,-37.7,-8.25,-96.2,-9.41,-143.7,-10.3,-90.9,-9.07,-197.5,-11.12
2068,12.1,-7.59,-37.5,-8.23,-97.2,-9.41,-145.9,-10.33,-89.3,-9.01,-201.4,-11.18
2069,12.1,-7.58,-37.4,-8.21,-98.2,-9.41,-148.1,-10.36,-87.6,-8.94,-205.3,-11.24
2070,12.1,-7.56,-37.2,-8.19,-99.2,-9.42,-150.2,-10.39,-85.9,-8.87,-209.1,-11.3
2071,12.2,-7.55,-37.1,-8.17,-100.1,-9.42,-152.4,-10.42,-84.1,-8.8,-212.9,-11.36
2072,12.2,-7.53,-36.9,-8.15,-100.9,-9.42,-154.5,-10.45,-82.4,-8.73,-216.6,-11.43
2073,12.2,-7.51,-36.7,-8.13,-101.7,-9.41,-156.6,-10.48,-80.7,-8.67,-220.2,-11.49
2074,12.2,-7.5,-36.4,-8.1,-102.4,-9.41,-158.7,-10.52,-79.2,-8.6,-223.7,-11.54
2075,12.2,-7.48,-36.2,-8.08,-103.1,-9.41,-160.8,-10.55,-77.6,-8.54,-227.2,-11.6
2076,12.2,-7.47,-35.9,-8.06,-103.7,-9.4,-162.8,-10.58,-76.1,-8.48,-230.6,-11.66
2077,12.2,-7.45,-35.6,-8.03,-104.3,-9.39,-164.8,-10.61,-74.6,-8.42,-234,-11.72
2078,12.1,-7.43,-35.2,-8.01,-104.8,-9.39,-166.8,-10.64,-73.1,-8.37,-237.3,-11.78
2079,12.1,-7.42,-34.9,-7.98,-105.3,-9.38,-168.8,-10.67,-71.5,-8.31,-240.5,-11.84
2080,12.1,-7.4,-34.5,-7.95,-105.8,-9.37,-170.8,-10.71,-70,-8.26,-243.7,-11.9
2081,12.1,-7.39,-34.1,-7.93,-106.2,-9.36,-172.8,-10.74,-68.5,-8.2,-246.8,-11.95
2082,12.1,-7.37,-33.7,-7.9,-106.5,-9.35,-174.8,-10.77,-67.1,-8.15,-249.7,-12.01
2083,12.1,-7.35,-33.4,-7.87,-106.8,-9.33,-176.7,-10.8,-65.7,-8.1,-252.6,-12.07
2084,12,-7.34,-33,-7.85,-107,-9.32,-178.7,-10.84,-64.4,-8.06,-255.3,-12.12
2085,12,-7.32,-32.7,-7.82,-107.2,-9.31,-180.6,-10.87,-63.1,-8.01,-258,-12.17
2086,12,-7.31,-32.3,-7.8,-107.3,-9.29,-182.6,-10.9,-61.9,-7.97,-260.6,-12.22
2087,12,-7.29,-32,-7.77,-107.3,-9.27,-184.5,-10.94,-60.7,-7.93,-263.1,-12.27
2088,12,-7.27,-31.6,-7.75,-107.3,-9.26,-186.4,-10.97,-59.5,-7.89,-265.5,-12.32
2089,12,-7.25,-31.3,-7.72,-107.3,-9.24,-188.3,-11,-58.3,-7.85,-267.9,-12.37
2090,12,-7.24,-30.9,-7.7,-107.2,-9.22,-190.2,-11.04,-57.2,-7.81,-270.3,-12.41
2091,12,-7.22,-30.6,-7.67,-107.1,-9.2,-192.1,-11.07,-56.1,-7.78,-272.5,-12.46
2092,12,-7.2,-30.3,-7.65,-106.9,-9.18,-194,-11.1,-55.1,-7.74,-274.7,-12.5
2093,11.9,-7.18,-30,-7.63,-106.8,-9.16,-195.9,-11.14,-54.2,-7.71,-276.8,-12.55
2094,11.9,-7.16,-29.7,-7.61,-106.6,-9.14,-197.8,-11.17,-53.3,-7.67,-278.9,-12.59
2095,11.9,-7.14,-29.5,-7.59,-106.4,-9.12,-199.7,-11.21,-52.5,-7.64,-280.9,-12.63
2096,11.9,-7.12,-29.3,-7.57,-106.2,-9.1,-201.5,-11.24,-51.7,-7.61,-282.9,-12.67
2097,11.9,-7.1,-29.1,-7.56,-106.1,-9.08,-203.4,-11.28,-50.9,-7.58,-284.8,-12.71
2098,11.9,-7.08,-28.9,-7.54,-105.9,-9.06,-205.2,-11.31,-50.2,-7.55,-286.6,-12.75
2099,11.9,-7.06,-28.7,-7.53,-105.6,-9.04,-207.1,-11.35,-49.5,-7.52,-288.4,-12.79
2100,11.9,-7.04,-28.6,-7.51,-105.4,-9.03,-208.9,-11.38,-48.8,-7.49,-290.2,-12.83
